order_id,order_date,customer_name,customer_email,customer_phone,customer_address,product_name,product_category,sales_channel,supplier,units_sold,revenue,inventory_on_hand,shipping_status,delivery_days,return_flag,return_reason
ORD-100000,2026-03-07,Jeffrey Butler,murphybriana@example.net,5149196992,"PSC 0686, Box 2884, APO AE 82431",Desk Lamp,Office,Shopify,Cascade Imports,6,258.3,68,Delivered,5,False,No return
ORD-100001,2026-03-15,Shannon Trevino,michellemartin@example.net,8787378334,"Unit 4310 Box 4351, DPO AP 24561",USB-C Hub,Accessories,Wholesale Portal,BlueRiver Fulfillment,1,24.28,37,Delivered,4,False,No return
ORD-100002,2026-04-05,Steven Taylor,crystallewis@example.com,366.599.0700x7286,"483 Orr Dale Apt. 084, Lake Kimberly, VI 98255",Mechanical Keyboard,Accessories,Wholesale Portal,Northstar Supply,1,28.32,64,Delivered,5,False,No return
ORD-100003,2026-04-24,Robert Howard,hpierce@example.com,(487)660-4964x048,"7642 Timothy Place, Port Carolynview, TN 72878",Laptop Stand,Accessories,Wholesale Portal,Evergreen Wholesale,5,-12.5,4,Delivered,4,False,No return
ORD-100004,2026-04-08,Jamie Buckley,hrice@example.org,246-291-0413x107,"770 Crystal Island, West Carlosfurt, HI 47079",Desk Lamp,Office,Shopify,Evergreen Wholesale,7,324.88,40,Delivered,3,False,No return
ORD-100005,2026-03-05,Robert Gill,makaylaperry@example.org,+1-610-710-0585x2325,"36427 Nguyen Corners, Suttonbury, CT 22258",Wireless Mouse,Accessories,Phone Order,Metro Packaging,5,191.0,34,Exception,8,False,No return
ORD-100006,2026-03-25,Denise Jones,janet24@example.org,(562)403-2964x84448,"7694 Novak Junction Suite 392, Leestad, NH 95681",Reusable Mailer,Packaging,Shopify,Metro Packaging,6,110.4,55,Delivered,4,False,No return
ORD-100007,2026-03-14,David Davis,hjones@example.net,001-472-903-8575x64233,"27268 Castro Ports Suite 902, Newtonbury, GU 64556",Reusable Mailer,Packaging,Amazon Marketplace,Metro Packaging,6,117.64,32,Delivered,3,False,No return
ORD-100008,2026-04-17,Joshua Harvey,alexander84@example.org,001-969-626-4965x33727,"728 Ronald Station Apt. 840, Rubioside, TX 92576",,Packaging,Wholesale Portal,Metro Packaging,7,128.77,42,Delivered,6,True,Changed mind
ORD-100009,2026-03-26,Lisa Espinoza,thompsonsherri@example.com,633-674-1960x1902,"02262 King Hollow, Kaylamouth, DC 12973",Laptop Stand,Accessories,Phone Order,Metro Packaging,5,172.58,63,Delivered,5,False,No return
ORD-100010,2026-04-03,Thomas Lewis,natalieharris@example.net,7617109484,"6289 Craig Well, South Jillview, NE 61090",Reusable Mailer,Packaging,Wholesale Portal,Northstar Supply,2,30.73,28,Delivered,5,False,No return
ORD-100011,2026-04-28,Stephen Barton,jennifermack@example.net,001-598-743-9877,"PSC 6636, Box 8608, APO AA 72441",Barcode Scanner,Warehouse,Wholesale Portal,Metro Packaging,4,564.08,66,Delivered,4,False,No return
ORD-100012,2026-04-26,Russell Wells,nicolemartinez@example.net,928-792-4711x57474,"5652 Koch Place, New Jamie, NM 99806",USB-C Hub,Accessories,Phone Order,Cascade Imports,5,186.11,52,Delivered,4,False,No return
ORD-100013,2026-03-10,Elizabeth Taylor,parkerrachel@example.com,001-797-330-8741x419,"02494 Tonya Plaza, Lake Robinborough, OH 31657",USB-C Hub,Accessories,Shopify,Metro Packaging,6,202.89,33,Delivered,3,False,No return
ORD-100014,2026-04-16,Lori Dunn,michele30@example.com,001-735-796-9855,"802 Potter Pines, Lewisview, PW 52552",Packing Tape,Packaging,Wholesale Portal,Metro Packaging,4,70.76,23,Delivered,6,False,No return
